rasn,prefix,as_path
226,1.2.0.0/16,"(226, 293, 10886, 27)"
228,1.2.0.0/16,"(228, 668, 49544, 2152, 25)"
229,1.2.0.0/16,"(229, 231, 11164, 2152, 25)"
231,1.2.0.0/16,"(231, 11164, 2152, 25)"
237,1.2.0.0/16,"(237, 293, 10886, 27)"
239,1.2.0.0/16,"(239, 26677, 6939, 2152, 25)"
243,1.2.0.0/16,"(243, 32787, 293, 10886, 27)"
249,1.2.0.0/16,"(249, 174, 10886, 27)"
250,1.2.0.0/16,"(250, 6939, 2152, 25)"
252,1.2.0.0/16,"(252, 668, 49544, 2152, 25)"
254,1.2.0.0/16,"(254, 2686, 3257, 10886, 27)"
257,1.2.0.0/16,"(257, 2152, 25)"
260,1.2.0.0/16,"(260, 4637, 42, 10886, 27)"
264,1.2.0.0/16,"(264, 174, 10886, 27)"
267,1.2.0.0/16,"(267, 6939, 2152, 25)"
268,1.2.0.0/16,"(268, 10886, 27)"
271,1.2.0.0/16,"(271, 6509, 293, 10886, 27)"
275,1.2.0.0/16,"(275, 2914, 293, 10886, 27)"
277,1.2.0.0/16,"(277, 3360, 18881, 4230, 1828, 11164, 2152, 25)"
278,1.2.0.0/16,"(278, 8151, 2152, 25)"
283,1.2.0.0/16,"(283, 23005, 1299, 10886, 27)"
286,1.2.0.0/16,"(286, 10886, 27)"
288,1.2.0.0/16,"(288, 286, 10886, 27)"
289,1.2.0.0/16,"(289, 668, 49544, 2152, 25)"
291,1.2.0.0/16,"(291, 293, 2516, 2152, 25)"
292,1.2.0.0/16,"(292, 293, 2516, 2152, 25)"
293,1.2.0.0/16,"(293, 2516, 2152, 25)"
297,1.2.0.0/16,"(297, 293, 10886, 27)"
299,1.2.0.0/16,"(299, 2152, 25)"
302,1.2.0.0/16,"(302, 1299, 10886, 27)"
375,1.2.0.0/16,"(375, 12552, 2635, 2152, 25)"
376,1.2.0.0/16,"(376, 49544, 2152, 25)"
377,1.2.0.0/16,"(377, 293, 2516, 2152, 25)"
378,1.2.0.0/16,"(378, 20965, 293, 10886, 27)"
511,1.2.0.0/16,"(511, 20115, 2152, 25)"
513,1.2.0.0/16,"(513, 13335, 2152, 25)"
518,1.2.0.0/16,"(518, 668, 49544, 2152, 25)"
542,1.2.0.0/16,"(542, 15296, 6509, 293, 10886, 27)"
543,1.2.0.0/16,"(543, 3356, 10886, 27)"
545,1.2.0.0/16,"(545, 701, 3257, 10886, 27)"
