rasn,prefix,as_path
23557,1.2.0.0/16,"(23557, 9318, 2152, 25)"
23558,1.2.0.0/16,"(23558, 4766, 2152, 25)"
23560,1.2.0.0/16,"(23560, 3786, 2152, 25)"
23561,1.2.0.0/16,"(23561, 9318, 2152, 25)"
23562,1.2.0.0/16,"(23562, 4766, 2152, 25)"
23563,1.2.0.0/16,"(23563, 9318, 2152, 25)"
23564,1.2.0.0/16,"(23564, 3786, 2152, 25)"
23568,1.2.0.0/16,"(23568, 3786, 2152, 25)"
23569,1.2.0.0/16,"(23569, 3786, 2152, 25)"
23570,1.2.0.0/16,"(23570, 4766, 2152, 25)"
23571,1.2.0.0/16,"(23571, 3786, 2152, 25)"
23572,1.2.0.0/16,"(23572, 3786, 2152, 25)"
23573,1.2.0.0/16,"(23573, 3786, 2152, 25)"
23574,1.2.0.0/16,"(23574, 3786, 2152, 25)"
23576,1.2.0.0/16,"(23576, 49544, 2152, 25)"
23578,1.2.0.0/16,"(23578, 9318, 2152, 25)"
23579,1.2.0.0/16,"(23579, 4766, 2152, 25)"
23580,1.2.0.0/16,"(23580, 4766, 2152, 25)"
23581,1.2.0.0/16,"(23581, 4766, 2152, 25)"
23582,1.2.0.0/16,"(23582, 3786, 2152, 25)"
23584,1.2.0.0/16,"(23584, 7562, 4766, 2152, 25)"
23586,1.2.0.0/16,"(23586, 3786, 2152, 25)"
23587,1.2.0.0/16,"(23587, 4766, 2152, 25)"
23588,1.2.0.0/16,"(23588, 9318, 2152, 25)"
23589,1.2.0.0/16,"(23589, 3786, 2152, 25)"
23590,1.2.0.0/16,"(23590, 3786, 2152, 25)"
23591,1.2.0.0/16,"(23591, 3786, 2152, 25)"
23593,1.2.0.0/16,"(23593, 9318, 2152, 25)"
23594,1.2.0.0/16,"(23594, 9318, 2152, 25)"
23596,1.2.0.0/16,"(23596, 4766, 2152, 25)"
23599,1.2.0.0/16,"(23599, 137409, 42, 10886, 27)"
23600,1.2.0.0/16,"(23600, 4766, 2152, 25)"
23601,1.2.0.0/16,"(23601, 3786, 2152, 25)"
23602,1.2.0.0/16,"(23602, 9587, 38081, 7470, 6939, 2152, 25)"
23611,1.2.0.0/16,"(23611, 4134, 714, 2152, 25)"
23613,1.2.0.0/16,"(23613, 4713, 2516, 2152, 25)"
23614,1.2.0.0/16,"(23614, 6939, 2152, 25)"
23615,1.2.0.0/16,"(23615, 2907, 101, 2152, 25)"
23616,1.2.0.0/16,"(23616, 2516, 2152, 25)"
23618,1.2.0.0/16,"(23618, 6939, 2152, 25)"
23619,1.2.0.0/16,"(23619, 2914, 293, 10886, 27)"
23620,1.2.0.0/16,"(23620, 6939, 2152, 25)"
23623,1.2.0.0/16,"(23623, 2907, 101, 2152, 25)"
23624,1.2.0.0/16,"(23624, 49544, 2152, 25)"
23627,1.2.0.0/16,"(23627, 49544, 2152, 25)"
23628,1.2.0.0/16,"(23628, 49544, 2152, 25)"
23629,1.2.0.0/16,"(23629, 49544, 2152, 25)"
23630,1.2.0.0/16,"(23630, 6939, 2152, 25)"
23631,1.2.0.0/16,"(23631, 18070, 6939, 2152, 25)"
23632,1.2.0.0/16,"(23632, 9622, 6939, 2152, 25)"
23633,1.2.0.0/16,"(23633, 49544, 2152, 25)"
23634,1.2.0.0/16,"(23634, 2516, 2152, 25)"
23635,1.2.0.0/16,"(23635, 9824, 6939, 2152, 25)"
23637,1.2.0.0/16,"(23637, 15830, 42, 10886, 27)"
23639,1.2.0.0/16,"(23639, 2497, 42, 10886, 27)"
23640,1.2.0.0/16,"(23640, 7679, 6939, 2152, 25)"
23641,1.2.0.0/16,"(23641, 49544, 2152, 25)"
23644,1.2.0.0/16,"(23644, 4618, 9505, 2152, 25)"
23646,1.2.0.0/16,"(23646, 25795, 33597, 2516, 2152, 25)"
23647,1.2.0.0/16,"(23647, 4007, 9498, 49544, 2152, 25)"
23648,1.2.0.0/16,"(23648, 4515, 6939, 2152, 25)"
23650,1.2.0.0/16,"(23650, 4134, 1299, 10886, 27)"
23653,1.2.0.0/16,"(23653, 32787, 293, 10886, 27)"
23657,1.2.0.0/16,"(23657, 174, 10886, 27)"
23658,1.2.0.0/16,"(23658, 4755, 6421, 6939, 2152, 25)"
23659,1.2.0.0/16,"(23659, 9534, 6939, 2152, 25)"
23660,1.2.0.0/16,"(23660, 135607, 6939, 2152, 25)"
23661,1.2.0.0/16,"(23661, 6939, 2152, 25)"
23662,1.2.0.0/16,"(23662, 4134, 714, 2152, 25)"
23664,1.2.0.0/16,"(23664, 9498, 49544, 2152, 25)"
23665,1.2.0.0/16,"(23665, 4637, 9318, 2152, 25)"
23666,1.2.0.0/16,"(23666, 24482, 714, 2152, 25)"
23668,1.2.0.0/16,"(23668, 4766, 2152, 25)"
23669,1.2.0.0/16,"(23669, 6939, 2152, 25)"
23671,1.2.0.0/16,"(23671, 6939, 2152, 25)"
23673,1.2.0.0/16,"(23673, 2635, 2152, 25)"
23674,1.2.0.0/16,"(23674, 13335, 2152, 25)"
23675,1.2.0.0/16,"(23675, 13335, 2152, 25)"
23676,1.2.0.0/16,"(23676, 395400, 6939, 2152, 25)"
23678,1.2.0.0/16,"(23678, 24482, 714, 2152, 25)"
23679,1.2.0.0/16,"(23679, 24482, 714, 2152, 25)"
23683,1.2.0.0/16,"(23683, 7470, 6939, 2152, 25)"
23687,1.2.0.0/16,"(23687, 4621, 6939, 2152, 25)"
23689,1.2.0.0/16,"(23689, 4775, 7575, 2152, 25)"
23692,1.2.0.0/16,"(23692, 58552, 7575, 2152, 25)"
23693,1.2.0.0/16,"(23693, 24482, 714, 2152, 25)"
23694,1.2.0.0/16,"(23694, 38511, 24538, 6939, 2152, 25)"
23695,1.2.0.0/16,"(23695, 4787, 150279, 6939, 2152, 25)"
23696,1.2.0.0/16,"(23696, 24482, 714, 2152, 25)"
23699,1.2.0.0/16,"(23699, 24482, 714, 2152, 25)"
23700,1.2.0.0/16,"(23700, 24482, 714, 2152, 25)"
23703,1.2.0.0/16,"(23703, 6939, 2152, 25)"
23706,1.2.0.0/16,"(23706, 32787, 293, 10886, 27)"
23709,1.2.0.0/16,"(23709, 7713, 714, 2152, 25)"
23714,1.2.0.0/16,"(23714, 3786, 2152, 25)"
23717,1.2.0.0/16,"(23717, 7470, 6939, 2152, 25)"
23719,1.2.0.0/16,"(23719, 7575, 2152, 25)"
23720,1.2.0.0/16,"(23720, 138384, 49544, 2152, 25)"
23722,1.2.0.0/16,"(23722, 4826, 293, 10886, 27)"
23724,1.2.0.0/16,"(23724, 41378, 6939, 2152, 25)"
23726,1.2.0.0/16,"(23726, 7633, 55836, 13335, 2152, 25)"
23727,1.2.0.0/16,"(23727, 4851, 6939, 2152, 25)"
23728,1.2.0.0/16,"(23728, 3758, 6461, 10886, 27)"
23729,1.2.0.0/16,"(23729, 58656, 3223, 174, 10886, 27)"
23730,1.2.0.0/16,"(23730, 4515, 6939, 2152, 25)"
23731,1.2.0.0/16,"(23731, 6939, 2152, 25)"
23732,1.2.0.0/16,"(23732, 4775, 7575, 2152, 25)"
23733,1.2.0.0/16,"(23733, 15830, 42, 10886, 27)"
23735,1.2.0.0/16,"(23735, 135069, 7575, 2152, 25)"
23747,1.2.0.0/16,"(23747, 6939, 2152, 25)"
23749,1.2.0.0/16,"(23749, 49544, 2152, 25)"
23752,1.2.0.0/16,"(23752, 4755, 8966, 42, 10886, 27)"
23755,1.2.0.0/16,"(23755, 132040, 4637, 42, 10886, 27)"
23756,1.2.0.0/16,"(23756, 49544, 2152, 25)"
23760,1.2.0.0/16,"(23760, 6461, 10886, 27)"
23761,1.2.0.0/16,"(23761, 3491, 293, 10886, 27)"
23763,1.2.0.0/16,"(23763, 3491, 293, 10886, 27)"
23764,1.2.0.0/16,"(23764, 42, 10886, 27)"
23765,1.2.0.0/16,"(23765, 3356, 10886, 27)"
23766,1.2.0.0/16,"(23766, 3356, 10886, 27)"
23767,1.2.0.0/16,"(23767, 4637, 9318, 2152, 25)"
23770,1.2.0.0/16,"(23770, 45820, 132116, 17660, 42, 10886, 27)"
23771,1.2.0.0/16,"(23771, 4837, 1299, 10886, 27)"
23773,1.2.0.0/16,"(23773, 7529, 2516, 2152, 25)"
23774,1.2.0.0/16,"(23774, 6939, 2152, 25)"
23775,1.2.0.0/16,"(23775, 9505, 2152, 25)"
23776,1.2.0.0/16,"(23776, 2497, 42, 10886, 27)"
23777,1.2.0.0/16,"(23777, 6939, 2152, 25)"
23778,1.2.0.0/16,"(23778, 6939, 2152, 25)"
23779,1.2.0.0/16,"(23779, 6939, 2152, 25)"
23780,1.2.0.0/16,"(23780, 6939, 2152, 25)"
23781,1.2.0.0/16,"(23781, 2907, 101, 2152, 25)"
23783,1.2.0.0/16,"(23783, 6939, 2152, 25)"
23784,1.2.0.0/16,"(23784, 17685, 49544, 2152, 25)"
23785,1.2.0.0/16,"(23785, 4713, 2516, 2152, 25)"
23786,1.2.0.0/16,"(23786, 6939, 2152, 25)"
23788,1.2.0.0/16,"(23788, 9824, 6939, 2152, 25)"
23790,1.2.0.0/16,"(23790, 9824, 6939, 2152, 25)"
23791,1.2.0.0/16,"(23791, 10010, 6939, 2152, 25)"
23793,1.2.0.0/16,"(23793, 2907, 101, 2152, 25)"
23795,1.2.0.0/16,"(23795, 10010, 6939, 2152, 25)"
23798,1.2.0.0/16,"(23798, 4713, 2516, 2152, 25)"
23799,1.2.0.0/16,"(23799, 2500, 42, 10886, 27)"
23804,1.2.0.0/16,"(23804, 4713, 2516, 2152, 25)"
23805,1.2.0.0/16,"(23805, 6939, 2152, 25)"
23807,1.2.0.0/16,"(23807, 2907, 101, 2152, 25)"
23808,1.2.0.0/16,"(23808, 6939, 2152, 25)"
23815,1.2.0.0/16,"(23815, 101, 2152, 25)"
23816,1.2.0.0/16,"(23816, 49544, 2152, 25)"
23817,1.2.0.0/16,"(23817, 17676, 42, 10886, 27)"
23818,1.2.0.0/16,"(23818, 7529, 2516, 2152, 25)"
23820,1.2.0.0/16,"(23820, 8220, 2152, 25)"
23822,1.2.0.0/16,"(23822, 6939, 2152, 25)"
23824,1.2.0.0/16,"(23824, 6939, 2152, 25)"
23826,1.2.0.0/16,"(23826, 2907, 101, 2152, 25)"
23827,1.2.0.0/16,"(23827, 6939, 2152, 25)"
23828,1.2.0.0/16,"(23828, 7664, 6939, 2152, 25)"
23829,1.2.0.0/16,"(23829, 4713, 2516, 2152, 25)"
23831,1.2.0.0/16,"(23831, 9354, 49544, 2152, 25)"
23833,1.2.0.0/16,"(23833, 17676, 42, 10886, 27)"
23836,1.2.0.0/16,"(23836, 6939, 2152, 25)"
23838,1.2.0.0/16,"(23838, 6939, 2152, 25)"
23842,1.2.0.0/16,"(23842, 17623, 4837, 1299, 10886, 27)"
23844,1.2.0.0/16,"(23844, 4808, 4837, 1299, 10886, 27)"
23848,1.2.0.0/16,"(23848, 4837, 1299, 10886, 27)"
23851,1.2.0.0/16,"(23851, 4837, 1299, 10886, 27)"
23852,1.2.0.0/16,"(23852, 3491, 293, 10886, 27)"
23853,1.2.0.0/16,"(23853, 4812, 4134, 1299, 10886, 27)"
23854,1.2.0.0/16,"(23854, 4764, 42, 10886, 27)"
23855,1.2.0.0/16,"(23855, 49544, 2152, 25)"
23856,1.2.0.0/16,"(23856, 7575, 2152, 25)"
23859,1.2.0.0/16,"(23859, 7575, 2152, 25)"
23860,1.2.0.0/16,"(23860, 8966, 42, 10886, 27)"
23861,1.2.0.0/16,"(23861, 9905, 7713, 714, 2152, 25)"
23863,1.2.0.0/16,"(23863, 4764, 2635, 2152, 25)"
23864,1.2.0.0/16,"(23864, 11537, 10886, 27)"
23865,1.2.0.0/16,"(23865, 49544, 2152, 25)"
23869,1.2.0.0/16,"(23869, 9790, 42, 10886, 27)"
23871,1.2.0.0/16,"(23871, 6939, 2152, 25)"
23872,1.2.0.0/16,"(23872, 9498, 49544, 2152, 25)"
23875,1.2.0.0/16,"(23875, 49544, 2152, 25)"
23876,1.2.0.0/16,"(23876, 3491, 293, 10886, 27)"
23879,1.2.0.0/16,"(23879, 17660, 42, 10886, 27)"
23880,1.2.0.0/16,"(23880, 8966, 2906, 2152, 25)"
23881,1.2.0.0/16,"(23881, 9002, 42, 10886, 27)"
23883,1.2.0.0/16,"(23883, 45458, 10099, 42, 10886, 27)"
23884,1.2.0.0/16,"(23884, 10099, 42, 10886, 27)"
23885,1.2.0.0/16,"(23885, 31898, 2152, 25)"
23886,1.2.0.0/16,"(23886, 4826, 293, 10886, 27)"
23887,1.2.0.0/16,"(23887, 55821, 13335, 2152, 25)"
23889,1.2.0.0/16,"(23889, 49544, 2152, 25)"
23891,1.2.0.0/16,"(23891, 13335, 2152, 25)"
23893,1.2.0.0/16,"(23893, 138536, 58717, 6461, 10886, 27)"
23899,1.2.0.0/16,"(23899, 45899, 293, 10886, 27)"
23901,1.2.0.0/16,"(23901, 4755, 6421, 6939, 2152, 25)"
23902,1.2.0.0/16,"(23902, 7552, 49544, 2152, 25)"
23907,1.2.0.0/16,"(23907, 4826, 293, 10886, 27)"
23908,1.2.0.0/16,"(23908, 3786, 2152, 25)"
23913,1.2.0.0/16,"(23913, 6939, 2152, 25)"
23916,1.2.0.0/16,"(23916, 23838, 6939, 2152, 25)"
23917,1.2.0.0/16,"(23917, 14593, 2152, 25)"
23918,1.2.0.0/16,"(23918, 38880, 714, 2152, 25)"
23920,1.2.0.0/16,"(23920, 4637, 9318, 2152, 25)"
23921,1.2.0.0/16,"(23921, 1221, 8075, 2152, 25)"
23922,1.2.0.0/16,"(23922, 4826, 293, 10886, 27)"
23925,1.2.0.0/16,"(23925, 4741, 24482, 714, 2152, 25)"
23926,1.2.0.0/16,"(23926, 4755, 6421, 6939, 2152, 25)"
23930,1.2.0.0/16,"(23930, 6939, 2152, 25)"
23932,1.2.0.0/16,"(23932, 6939, 2152, 25)"
23938,1.2.0.0/16,"(23938, 1221, 8075, 2152, 25)"
23943,1.2.0.0/16,"(23943, 6939, 2152, 25)"
23944,1.2.0.0/16,"(23944, 6939, 2152, 25)"
23947,1.2.0.0/16,"(23947, 293, 10886, 27)"
23948,1.2.0.0/16,"(23948, 7575, 2152, 25)"
23949,1.2.0.0/16,"(23949, 131111, 24482, 714, 2152, 25)"
23950,1.2.0.0/16,"(23950, 55655, 9505, 2152, 25)"
23951,1.2.0.0/16,"(23951, 32590, 2152, 25)"
23952,1.2.0.0/16,"(23952, 141137, 1828, 11164, 2152, 25)"
23953,1.2.0.0/16,"(23953, 1280, 2152, 25)"
23954,1.2.0.0/16,"(23954, 4761, 7575, 2152, 25)"
23955,1.2.0.0/16,"(23955, 38740, 9505, 2152, 25)"
23957,1.2.0.0/16,"(23957, 55836, 13335, 2152, 25)"
23959,1.2.0.0/16,"(23959, 4785, 9371, 18077, 1828, 11164, 2152, 25)"
23961,1.2.0.0/16,"(23961, 8888, 42, 10886, 27)"
23962,1.2.0.0/16,"(23962, 45899, 293, 10886, 27)"
23965,1.2.0.0/16,"(23965, 7545, 6939, 2152, 25)"
23967,1.2.0.0/16,"(23967, 15830, 42, 10886, 27)"
23969,1.2.0.0/16,"(23969, 10099, 42, 10886, 27)"
23971,1.2.0.0/16,"(23971, 3786, 2152, 25)"
23972,1.2.0.0/16,"(23972, 3786, 2152, 25)"
23974,1.2.0.0/16,"(23974, 23969, 10099, 42, 10886, 27)"
23975,1.2.0.0/16,"(23975, 3786, 2152, 25)"
23977,1.2.0.0/16,"(23977, 45179, 6939, 2152, 25)"
23980,1.2.0.0/16,"(23980, 3786, 2152, 25)"
23983,1.2.0.0/16,"(23983, 3786, 2152, 25)"
23984,1.2.0.0/16,"(23984, 4755, 6421, 6939, 2152, 25)"
23985,1.2.0.0/16,"(23985, 3491, 293, 10886, 27)"
23988,1.2.0.0/16,"(23988, 174, 10886, 27)"
23993,1.2.0.0/16,"(23993, 45437, 9505, 2152, 25)"
23994,1.2.0.0/16,"(23994, 9498, 49544, 2152, 25)"
23999,1.2.0.0/16,"(23999, 18403, 9505, 2152, 25)"
24002,1.2.0.0/16,"(24002, 4515, 6939, 2152, 25)"
24003,1.2.0.0/16,"(24003, 9498, 49544, 2152, 25)"
24005,1.2.0.0/16,"(24005, 135069, 7575, 2152, 25)"
24006,1.2.0.0/16,"(24006, 6939, 2152, 25)"
24007,1.2.0.0/16,"(24007, 1221, 8075, 2152, 25)"
24008,1.2.0.0/16,"(24008, 4764, 42, 10886, 27)"
24012,1.2.0.0/16,"(24012, 2914, 293, 10886, 27)"
24013,1.2.0.0/16,"(24013, 3258, 6939, 2152, 25)"
24014,1.2.0.0/16,"(24014, 7575, 2152, 25)"
24017,1.2.0.0/16,"(24017, 1221, 8075, 2152, 25)"
24020,1.2.0.0/16,"(24020, 4788, 2516, 2152, 25)"
24021,1.2.0.0/16,"(24021, 131074, 4608, 42, 10886, 27)"
24023,1.2.0.0/16,"(24023, 6939, 2152, 25)"
24026,1.2.0.0/16,"(24026, 1237, 4766, 2152, 25)"
24027,1.2.0.0/16,"(24027, 3786, 2152, 25)"
24028,1.2.0.0/16,"(24028, 49544, 2152, 25)"
24030,1.2.0.0/16,"(24030, 3758, 6461, 10886, 27)"
24033,1.2.0.0/16,"(24033, 6939, 2152, 25)"
24035,1.2.0.0/16,"(24035, 7552, 49544, 2152, 25)"
24038,1.2.0.0/16,"(24038, 3758, 6461, 10886, 27)"
24039,1.2.0.0/16,"(24039, 7575, 2152, 25)"
24040,1.2.0.0/16,"(24040, 7470, 6939, 2152, 25)"
24041,1.2.0.0/16,"(24041, 4775, 7575, 2152, 25)"
24042,1.2.0.0/16,"(24042, 7470, 6939, 2152, 25)"
24055,1.2.0.0/16,"(24055, 9498, 49544, 2152, 25)"
24058,1.2.0.0/16,"(24058, 4515, 6939, 2152, 25)"
24060,1.2.0.0/16,"(24060, 4618, 9505, 2152, 25)"
24061,1.2.0.0/16,"(24061, 38561, 6939, 2152, 25)"
24062,1.2.0.0/16,"(24062, 20473, 293, 10886, 27)"
24065,1.2.0.0/16,"(24065, 10143, 38195, 293, 10886, 27)"
24066,1.2.0.0/16,"(24066, 7552, 49544, 2152, 25)"
24067,1.2.0.0/16,"(24067, 38082, 49544, 2152, 25)"
24068,1.2.0.0/16,"(24068, 24028, 49544, 2152, 25)"
24069,1.2.0.0/16,"(24069, 1221, 8075, 2152, 25)"
24074,1.2.0.0/16,"(24074, 32787, 293, 10886, 27)"
24077,1.2.0.0/16,"(24077, 6939, 2152, 25)"
24079,1.2.0.0/16,"(24079, 4775, 7575, 2152, 25)"
24081,1.2.0.0/16,"(24081, 4775, 7575, 2152, 25)"
24082,1.2.0.0/16,"(24082, 7642, 49544, 2152, 25)"
24083,1.2.0.0/16,"(24083, 7693, 9505, 2152, 25)"
24084,1.2.0.0/16,"(24084, 9498, 49544, 2152, 25)"
24085,1.2.0.0/16,"(24085, 7552, 49544, 2152, 25)"
24086,1.2.0.0/16,"(24086, 7552, 49544, 2152, 25)"
24088,1.2.0.0/16,"(24088, 9505, 2152, 25)"
24089,1.2.0.0/16,"(24089, 7552, 49544, 2152, 25)"
24090,1.2.0.0/16,"(24090, 4788, 2516, 2152, 25)"
24092,1.2.0.0/16,"(24092, 45437, 9505, 2152, 25)"
24095,1.2.0.0/16,"(24095, 9927, 32590, 2152, 25)"
24097,1.2.0.0/16,"(24097, 132280, 9505, 2152, 25)"
24101,1.2.0.0/16,"(24101, 7575, 2152, 25)"
24103,1.2.0.0/16,"(24103, 4755, 6421, 6939, 2152, 25)"
24107,1.2.0.0/16,"(24107, 9790, 42, 10886, 27)"
24109,1.2.0.0/16,"(24109, 4775, 7575, 2152, 25)"
24110,1.2.0.0/16,"(24110, 55567, 49544, 2152, 25)"
24111,1.2.0.0/16,"(24111, 45177, 49544, 2152, 25)"
24112,1.2.0.0/16,"(24112, 19551, 49544, 2152, 25)"
24118,1.2.0.0/16,"(24118, 11158, 6939, 2152, 25)"
24120,1.2.0.0/16,"(24120, 1221, 8075, 2152, 25)"
24121,1.2.0.0/16,"(24121, 15830, 42, 10886, 27)"
24126,1.2.0.0/16,"(24126, 703, 49544, 2152, 25)"
24127,1.2.0.0/16,"(24127, 9498, 49544, 2152, 25)"
24128,1.2.0.0/16,"(24128, 7470, 6939, 2152, 25)"
24130,1.2.0.0/16,"(24130, 7545, 6939, 2152, 25)"
24137,1.2.0.0/16,"(24137, 4837, 1299, 10886, 27)"
24138,1.2.0.0/16,"(24138, 9394, 53062, 917, 1828, 11164, 2152, 25)"
24139,1.2.0.0/16,"(24139, 4837, 1299, 10886, 27)"
24141,1.2.0.0/16,"(24141, 17621, 4837, 1299, 10886, 27)"
24143,1.2.0.0/16,"(24143, 58540, 4134, 1299, 10886, 27)"
24147,1.2.0.0/16,"(24147, 4808, 4837, 1299, 10886, 27)"
24149,1.2.0.0/16,"(24149, 174, 10886, 27)"
24150,1.2.0.0/16,"(24150, 146788, 4134, 1299, 10886, 27)"
24151,1.2.0.0/16,"(24151, 21859, 2152, 25)"
24154,1.2.0.0/16,"(24154, 17709, 6939, 2152, 25)"
24158,1.2.0.0/16,"(24158, 9924, 49544, 2152, 25)"
24163,1.2.0.0/16,"(24163, 9924, 49544, 2152, 25)"
24164,1.2.0.0/16,"(24164, 9924, 49544, 2152, 25)"
24165,1.2.0.0/16,"(24165, 9924, 49544, 2152, 25)"
24168,1.2.0.0/16,"(24168, 17408, 49544, 2152, 25)"
24169,1.2.0.0/16,"(24169, 18046, 9505, 2152, 25)"
24172,1.2.0.0/16,"(24172, 18046, 9505, 2152, 25)"
24173,1.2.0.0/16,"(24173, 9505, 2152, 25)"
24174,1.2.0.0/16,"(24174, 45899, 9505, 2152, 25)"
24175,1.2.0.0/16,"(24175, 24173, 9505, 2152, 25)"
24176,1.2.0.0/16,"(24176, 24173, 9505, 2152, 25)"
24178,1.2.0.0/16,"(24178, 9583, 8220, 2152, 25)"
24179,1.2.0.0/16,"(24179, 4775, 7575, 2152, 25)"
24182,1.2.0.0/16,"(24182, 3758, 6461, 10886, 27)"
24183,1.2.0.0/16,"(24183, 7575, 2152, 25)"
24184,1.2.0.0/16,"(24184, 7642, 49544, 2152, 25)"
24186,1.2.0.0/16,"(24186, 17660, 42, 10886, 27)"
24187,1.2.0.0/16,"(24187, 24482, 714, 2152, 25)"
24189,1.2.0.0/16,"(24189, 2687, 49544, 2152, 25)"
24190,1.2.0.0/16,"(24190, 7470, 6939, 2152, 25)"
24195,1.2.0.0/16,"(24195, 24482, 714, 2152, 25)"
24198,1.2.0.0/16,"(24198, 6939, 2152, 25)"
24199,1.2.0.0/16,"(24199, 58552, 7575, 2152, 25)"
24200,1.2.0.0/16,"(24200, 24482, 714, 2152, 25)"
24201,1.2.0.0/16,"(24201, 24482, 714, 2152, 25)"
24202,1.2.0.0/16,"(24202, 134654, 6939, 2152, 25)"
24203,1.2.0.0/16,"(24203, 49544, 2152, 25)"
24204,1.2.0.0/16,"(24204, 49544, 2152, 25)"
24205,1.2.0.0/16,"(24205, 4761, 7575, 2152, 25)"
24206,1.2.0.0/16,"(24206, 24482, 714, 2152, 25)"
24207,1.2.0.0/16,"(24207, 137367, 293, 10886, 27)"
24209,1.2.0.0/16,"(24209, 24482, 714, 2152, 25)"
24210,1.2.0.0/16,"(24210, 131111, 24482, 714, 2152, 25)"
24211,1.2.0.0/16,"(24211, 24482, 714, 2152, 25)"
24212,1.2.0.0/16,"(24212, 7713, 714, 2152, 25)"
24213,1.2.0.0/16,"(24213, 24482, 714, 2152, 25)"
24214,1.2.0.0/16,"(24214, 7470, 6939, 2152, 25)"
24216,1.2.0.0/16,"(24216, 9498, 49544, 2152, 25)"
24218,1.2.0.0/16,"(24218, 55720, 42, 10886, 27)"
24222,1.2.0.0/16,"(24222, 4775, 7575, 2152, 25)"
24226,1.2.0.0/16,"(24226, 13335, 2152, 25)"
24232,1.2.0.0/16,"(24232, 174, 10886, 27)"
24236,1.2.0.0/16,"(24236, 9498, 49544, 2152, 25)"
24237,1.2.0.0/16,"(24237, 38566, 6939, 2152, 25)"
24247,1.2.0.0/16,"(24247, 1828, 2152, 25)"
24248,1.2.0.0/16,"(24248, 2497, 42, 10886, 27)"
24249,1.2.0.0/16,"(24249, 6939, 2152, 25)"
24250,1.2.0.0/16,"(24250, 7679, 7575, 2152, 25)"
24251,1.2.0.0/16,"(24251, 49544, 2152, 25)"
24252,1.2.0.0/16,"(24252, 49544, 2152, 25)"
24253,1.2.0.0/16,"(24253, 49544, 2152, 25)"
24254,1.2.0.0/16,"(24254, 2907, 101, 2152, 25)"
24255,1.2.0.0/16,"(24255, 49544, 2152, 25)"
24257,1.2.0.0/16,"(24257, 6939, 2152, 25)"
24259,1.2.0.0/16,"(24259, 6939, 2152, 25)"
24260,1.2.0.0/16,"(24260, 2907, 101, 2152, 25)"
24261,1.2.0.0/16,"(24261, 2907, 101, 2152, 25)"
24262,1.2.0.0/16,"(24262, 49544, 2152, 25)"
24263,1.2.0.0/16,"(24263, 6939, 2152, 25)"
24264,1.2.0.0/16,"(24264, 2907, 101, 2152, 25)"
24268,1.2.0.0/16,"(24268, 2907, 101, 2152, 25)"
24270,1.2.0.0/16,"(24270, 9993, 2516, 2152, 25)"
24271,1.2.0.0/16,"(24271, 6939, 2152, 25)"
24276,1.2.0.0/16,"(24276, 9824, 6939, 2152, 25)"
24277,1.2.0.0/16,"(24277, 6939, 2152, 25)"
24278,1.2.0.0/16,"(24278, 6939, 2152, 25)"
24279,1.2.0.0/16,"(24279, 6939, 2152, 25)"
24280,1.2.0.0/16,"(24280, 2519, 6939, 2152, 25)"
24282,1.2.0.0/16,"(24282, 49544, 2152, 25)"
24283,1.2.0.0/16,"(24283, 4713, 2516, 2152, 25)"
24284,1.2.0.0/16,"(24284, 6939, 2152, 25)"
24286,1.2.0.0/16,"(24286, 17676, 42, 10886, 27)"
24289,1.2.0.0/16,"(24289, 49544, 2152, 25)"
24290,1.2.0.0/16,"(24290, 9824, 6939, 2152, 25)"
24291,1.2.0.0/16,"(24291, 8220, 293, 10886, 27)"
24295,1.2.0.0/16,"(24295, 1828, 2152, 25)"
24296,1.2.0.0/16,"(24296, 23816, 49544, 2152, 25)"
24298,1.2.0.0/16,"(24298, 38553, 1828, 11164, 2152, 25)"
24302,1.2.0.0/16,"(24302, 24348, 4538, 49544, 2152, 25)"
24303,1.2.0.0/16,"(24303, 7575, 2152, 25)"
24304,1.2.0.0/16,"(24304, 174, 10886, 27)"
24305,1.2.0.0/16,"(24305, 6939, 2152, 25)"
24309,1.2.0.0/16,"(24309, 9498, 49544, 2152, 25)"
24313,1.2.0.0/16,"(24313, 6939, 2152, 25)"
24314,1.2.0.0/16,"(24314, 45630, 6939, 2152, 25)"
24315,1.2.0.0/16,"(24315, 7474, 714, 2152, 25)"
24316,1.2.0.0/16,"(24316, 1221, 8075, 2152, 25)"
24318,1.2.0.0/16,"(24318, 13335, 2152, 25)"
24319,1.2.0.0/16,"(24319, 2516, 2152, 25)"
24320,1.2.0.0/16,"(24320, 10099, 9505, 2152, 25)"
24321,1.2.0.0/16,"(24321, 136533, 199524, 2152, 25)"
24322,1.2.0.0/16,"(24322, 134143, 6939, 2152, 25)"
24323,1.2.0.0/16,"(24323, 138915, 293, 10886, 27)"
24324,1.2.0.0/16,"(24324, 6939, 2152, 25)"
24327,1.2.0.0/16,"(24327, 9498, 49544, 2152, 25)"
24328,1.2.0.0/16,"(24328, 4621, 6939, 2152, 25)"
24331,1.2.0.0/16,"(24331, 3786, 2152, 25)"
24332,1.2.0.0/16,"(24332, 9498, 49544, 2152, 25)"
24334,1.2.0.0/16,"(24334, 6939, 2152, 25)"
24336,1.2.0.0/16,"(24336, 4713, 2516, 2152, 25)"
24337,1.2.0.0/16,"(24337, 24482, 714, 2152, 25)"
