asn,prefix,as_path
37430,1.2.0.0/16,"(328107, 6762, 3257, 10886, 27)"
37427,1.2.0.0/16,"(328107, 6762, 3257, 10886, 27)"
329570,1.2.0.0/16,"(327824, 37468, 174, 10886, 27)"
329515,1.2.0.0/16,"(327782, 3741, 174, 10886, 27)"
328314,1.2.0.0/16,"(327782, 3741, 174, 10886, 27)"
328120,1.2.0.0/16,"(327782, 3741, 174, 10886, 27)"
329294,1.2.0.0/16,"(327767, 3741, 174, 10886, 27)"
329066,1.2.0.0/16,"(327727, 174, 10886, 27)"
329010,1.2.0.0/16,"(327727, 174, 10886, 27)"
202023,1.2.0.0/16,"(327697, 174, 10886, 27)"
329505,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328902,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328798,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328651,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328526,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328161,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
327946,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
327832,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
30896,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
273211,1.2.0.0/16,"(273882, 3356, 2152, 25)"
262344,1.2.0.0/16,"(273772, 52468, 174, 10886, 27)"
262324,1.2.0.0/16,"(273683, 3356, 2152, 25)"
264551,1.2.0.0/16,"(273421, 174, 10886, 27)"
262947,1.2.0.0/16,"(273309, 8167, 3356, 2152, 25)"
273913,1.2.0.0/16,"(273067, 3356, 2152, 25)"
273146,1.2.0.0/16,"(273067, 3356, 2152, 25)"
274085,1.2.0.0/16,"(272991, 263725, 23520, 3356, 2152, 25)"
273948,1.2.0.0/16,"(272935, 23520, 3356, 2152, 25)"
266335,1.2.0.0/16,"(272786, 6762, 3257, 10886, 27)"
271367,1.2.0.0/16,"(272549, 14840, 6762, 3257, 10886, 27)"
268982,1.2.0.0/16,"(272174, 3356, 2152, 25)"
274072,1.2.0.0/16,"(394684, 174, 10886, 27)"
271580,1.2.0.0/16,"(271502, 52468, 174, 10886, 27)"
273792,1.2.0.0/16,"(271145, 264997, 6762, 3257, 10886, 27)"
266512,1.2.0.0/16,"(271145, 264997, 6762, 3257, 10886, 27)"
270909,1.2.0.0/16,"(271069, 271253, 6762, 3257, 10886, 27)"
268899,1.2.0.0/16,"(271062, 21574, 174, 10886, 27)"
269150,1.2.0.0/16,"(270776, 52468, 174, 10886, 27)"
265298,1.2.0.0/16,"(270664, 16735, 3356, 2152, 25)"
271363,1.2.0.0/16,"(270581, 16735, 3356, 2152, 25)"
15015,1.2.0.0/16,"(398563, 3257, 10886, 27)"
269546,1.2.0.0/16,"(270340, 174, 10886, 27)"
268295,1.2.0.0/16,"(270340, 174, 10886, 27)"
272370,1.2.0.0/16,"(270175, 6461, 10886, 27)"
265598,1.2.0.0/16,"(270126, 174, 10886, 27)"
274041,1.2.0.0/16,"(270052, 61512, 3356, 2152, 25)"
266795,1.2.0.0/16,"(270014, 6057, 174, 10886, 27)"
274117,1.2.0.0/16,"(394684, 174, 10886, 27)"
269771,1.2.0.0/16,"(394684, 174, 10886, 27)"
274082,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
272062,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
267704,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
265728,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
272824,1.2.0.0/16,"(269752, 52323, 3356, 2152, 25)"
271789,1.2.0.0/16,"(269742, 18678, 12956, 3257, 10886, 27)"
271816,1.2.0.0/16,"(272102, 174, 10886, 27)"
271290,1.2.0.0/16,"(269719, 52554, 3356, 2152, 25)"
270904,1.2.0.0/16,"(269719, 52554, 3356, 2152, 25)"
265285,1.2.0.0/16,"(269646, 61568, 174, 10886, 27)"
270759,1.2.0.0/16,"(269608, 4230, 6762, 3257, 10886, 27)"
271297,1.2.0.0/16,"(269595, 61568, 174, 10886, 27)"
262815,1.2.0.0/16,"(269554, 269096, 3356, 2152, 25)"
266279,1.2.0.0/16,"(269524, 7195, 174, 10886, 27)"
273727,1.2.0.0/16,"(269194, 3356, 2152, 25)"
266316,1.2.0.0/16,"(269194, 3356, 2152, 25)"
61664,1.2.0.0/16,"(269180, 10429, 3356, 2152, 25)"
273506,1.2.0.0/16,"(269096, 3356, 2152, 25)"
266160,1.2.0.0/16,"(269096, 3356, 2152, 25)"
264441,1.2.0.0/16,"(269096, 3356, 2152, 25)"
264311,1.2.0.0/16,"(269096, 3356, 2152, 25)"
262775,1.2.0.0/16,"(268976, 3356, 2152, 25)"
262699,1.2.0.0/16,"(268976, 3356, 2152, 25)"
271416,1.2.0.0/16,"(268764, 271253, 6762, 3257, 10886, 27)"
271101,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
270487,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
268271,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
266026,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
265276,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
263853,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
263545,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
263437,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
262817,1.2.0.0/16,"(268696, 1031, 174, 10886, 27)"
61578,1.2.0.0/16,"(268689, 3356, 2152, 25)"
270970,1.2.0.0/16,"(272542, 61568, 174, 10886, 27)"
268060,1.2.0.0/16,"(268605, 22356, 6762, 3257, 10886, 27)"
265424,1.2.0.0/16,"(269096, 3356, 2152, 25)"
269368,1.2.0.0/16,"(268502, 52468, 174, 10886, 27)"
263388,1.2.0.0/16,"(268424, 3356, 2152, 25)"
274486,1.2.0.0/16,"(268404, 61568, 174, 10886, 27)"
270599,1.2.0.0/16,"(268355, 3356, 2152, 25)"
271149,1.2.0.0/16,"(268339, 8167, 3356, 2152, 25)"
61845,1.2.0.0/16,"(268339, 8167, 3356, 2152, 25)"
268921,1.2.0.0/16,"(268331, 265038, 3356, 2152, 25)"
274495,1.2.0.0/16,"(268314, 6057, 174, 10886, 27)"
273315,1.2.0.0/16,"(268314, 6057, 174, 10886, 27)"
264874,1.2.0.0/16,"(268314, 6057, 174, 10886, 27)"
272532,1.2.0.0/16,"(268311, 3356, 2152, 25)"
268176,1.2.0.0/16,"(269194, 3356, 2152, 25)"
264522,1.2.0.0/16,"(268267, 14840, 6762, 3257, 10886, 27)"
264878,1.2.0.0/16,"(269595, 61568, 174, 10886, 27)"
263440,1.2.0.0/16,"(269096, 3356, 2152, 25)"
267360,1.2.0.0/16,"(268168, 3356, 2152, 25)"
268215,1.2.0.0/16,"(268131, 22381, 174, 10886, 27)"
270901,1.2.0.0/16,"(270253, 3356, 2152, 25)"
271448,1.2.0.0/16,"(268054, 11432, 10429, 3356, 2152, 25)"
266794,1.2.0.0/16,"(267882, 3356, 2152, 25)"
272141,1.2.0.0/16,"(267749, 262253, 174, 10886, 27)"
271962,1.2.0.0/16,"(267749, 262253, 174, 10886, 27)"
262154,1.2.0.0/16,"(267699, 3356, 2152, 25)"
271528,1.2.0.0/16,"(267641, 14840, 6762, 3257, 10886, 27)"
268275,1.2.0.0/16,"(267638, 11432, 10429, 3356, 2152, 25)"
271486,1.2.0.0/16,"(267629, 4230, 6762, 3257, 10886, 27)"
263638,1.2.0.0/16,"(267629, 4230, 6762, 3257, 10886, 27)"
265070,1.2.0.0/16,"(267613, 174, 10886, 27)"
264930,1.2.0.0/16,"(267613, 174, 10886, 27)"
268552,1.2.0.0/16,"(267568, 16735, 3356, 2152, 25)"
271465,1.2.0.0/16,"(272659, 3356, 2152, 25)"
267001,1.2.0.0/16,"(267501, 269194, 3356, 2152, 25)"
266206,1.2.0.0/16,"(267484, 7195, 174, 10886, 27)"
271550,1.2.0.0/16,"(267470, 3356, 2152, 25)"
268062,1.2.0.0/16,"(267464, 270735, 174, 10886, 27)"
263538,1.2.0.0/16,"(267450, 3356, 2152, 25)"
267938,1.2.0.0/16,"(267470, 3356, 2152, 25)"
271098,1.2.0.0/16,"(267150, 14840, 6762, 3257, 10886, 27)"
268966,1.2.0.0/16,"(267124, 11432, 10429, 3356, 2152, 25)"
263014,1.2.0.0/16,"(267121, 3356, 2152, 25)"
265293,1.2.0.0/16,"(267059, 3356, 2152, 25)"
266390,1.2.0.0/16,"(267056, 6762, 3257, 10886, 27)"
272459,1.2.0.0/16,"(267055, 52468, 174, 10886, 27)"
268754,1.2.0.0/16,"(267028, 4230, 6762, 3257, 10886, 27)"
61882,1.2.0.0/16,"(268126, 10733, 3356, 2152, 25)"
270718,1.2.0.0/16,"(272573, 263966, 174, 10886, 27)"
270391,1.2.0.0/16,"(268637, 3356, 2152, 25)"
267813,1.2.0.0/16,"(394684, 174, 10886, 27)"
273879,1.2.0.0/16,"(266771, 3356, 2152, 25)"
274029,1.2.0.0/16,"(266757, 7195, 174, 10886, 27)"
273427,1.2.0.0/16,"(266757, 7195, 174, 10886, 27)"
274186,1.2.0.0/16,"(266725, 10481, 7303, 3257, 10886, 27)"
263615,1.2.0.0/16,"(266633, 52925, 3356, 2152, 25)"
269218,1.2.0.0/16,"(266630, 10429, 3356, 2152, 25)"
269448,1.2.0.0/16,"(267588, 61592, 3356, 2152, 25)"
265924,1.2.0.0/16,"(266608, 269311, 1031, 174, 10886, 27)"
209618,1.2.0.0/16,"(266539, 3356, 2152, 25)"
271384,1.2.0.0/16,"(267613, 174, 10886, 27)"
265062,1.2.0.0/16,"(266525, 16735, 3356, 2152, 25)"
272637,1.2.0.0/16,"(266520, 7738, 3356, 2152, 25)"
272499,1.2.0.0/16,"(266520, 7738, 3356, 2152, 25)"
271020,1.2.0.0/16,"(266519, 53062, 6762, 3257, 10886, 27)"
