asn,prefix,as_path
141087,1.2.0.0/16,"(23947, 174, 10886, 27)"
265819,1.2.0.0/16,"(11014, 6762, 3257, 10886, 27)"
46238,1.2.0.0/16,"(46455, 174, 10886, 27)"
265788,1.2.0.0/16,"(14754, 174, 10886, 27)"
153378,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
153038,1.2.0.0/16,"(58945, 174, 10886, 27)"
152606,1.2.0.0/16,"(150178, 174, 10886, 27)"
151957,1.2.0.0/16,"(58715, 174, 10886, 27)"
151327,1.2.0.0/16,"(17806, 174, 10886, 27)"
150336,1.2.0.0/16,"(139009, 174, 10886, 27)"
149865,1.2.0.0/16,"(149994, 174, 10886, 27)"
64276,1.2.0.0/16,"(26827, 174, 10886, 27)"
149501,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
149015,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
61821,1.2.0.0/16,"(267121, 3356, 2152, 25)"
61800,1.2.0.0/16,"(262999, 1031, 174, 10886, 27)"
147029,1.2.0.0/16,"(132602, 2914, 3257, 10886, 27)"
61728,1.2.0.0/16,"(53065, 7195, 174, 10886, 27)"
146957,1.2.0.0/16,"(139009, 174, 10886, 27)"
61724,1.2.0.0/16,"(53196, 21574, 174, 10886, 27)"
56494,1.2.0.0/16,"(35457, 5416, 174, 10886, 27)"
397410,1.2.0.0/16,"(11831, 6327, 3356, 2152, 25)"
141723,1.2.0.0/16,"(58945, 174, 10886, 27)"
54869,1.2.0.0/16,"(20115, 2152, 25)"
140098,1.2.0.0/16,"(142577, 58717, 6762, 3257, 10886, 27)"
54848,1.2.0.0/16,"(10396, 3356, 2152, 25)"
140077,1.2.0.0/16,"(58655, 9498, 3356, 2152, 25)"
140071,1.2.0.0/16,"(150748, 174, 10886, 27)"
395467,1.2.0.0/16,"(32613, 174, 10886, 27)"
139780,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
139335,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
54096,1.2.0.0/16,"(46887, 1299, 10886, 27)"
139325,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
394713,1.2.0.0/16,"(33662, 7922, 3257, 10886, 27)"
53797,1.2.0.0/16,"(18779, 174, 10886, 27)"
139026,1.2.0.0/16,"(150748, 174, 10886, 27)"
138343,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
137403,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
52023,1.2.0.0/16,"(34714, 3356, 2152, 25)"
137252,1.2.0.0/16,"(150748, 174, 10886, 27)"
51804,1.2.0.0/16,"(12389, 174, 10886, 27)"
137033,1.2.0.0/16,"(58715, 174, 10886, 27)"
136941,1.2.0.0/16,"(58655, 9498, 3356, 2152, 25)"
50995,1.2.0.0/16,"(12400, 174, 10886, 27)"
136224,1.2.0.0/16,"(150748, 174, 10886, 27)"
135597,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
135420,1.2.0.0/16,"(17494, 6762, 3257, 10886, 27)"
134812,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
49372,1.2.0.0/16,"(30860, 3223, 6762, 3257, 10886, 27)"
134601,1.2.0.0/16,"(58945, 174, 10886, 27)"
134437,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
134153,1.2.0.0/16,"(150178, 174, 10886, 27)"
133155,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
64043,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
149247,1.2.0.0/16,"(146904, 9498, 3356, 2152, 25)"
64018,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
63980,1.2.0.0/16,"(17494, 6762, 3257, 10886, 27)"
58813,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
58736,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
399532,1.2.0.0/16,"(13335, 2152, 25)"
45245,1.2.0.0/16,"(58717, 6762, 3257, 10886, 27)"
24432,1.2.0.0/16,"(17806, 174, 10886, 27)"
24389,1.2.0.0/16,"(17494, 6762, 3257, 10886, 27)"
18230,1.2.0.0/16,"(58945, 174, 10886, 27)"
18109,1.2.0.0/16,"(139901, 174, 10886, 27)"
17471,1.2.0.0/16,"(149994, 174, 10886, 27)"
265138,1.2.0.0/16,"(16735, 3356, 2152, 25)"
18334,1.2.0.0/16,"(10036, 3786, 2152, 25)"
132827,1.2.0.0/16,"(10021, 8220, 2152, 25)"
265795,1.2.0.0/16,"(262150, 3356, 2152, 25)"
10108,1.2.0.0/16,"(10021, 8220, 2152, 25)"
4686,1.2.0.0/16,"(10013, 2914, 3257, 10886, 27)"
131939,1.2.0.0/16,"(135607, 15412, 6762, 3257, 10886, 27)"
24270,1.2.0.0/16,"(17511, 3356, 2152, 25)"
265738,1.2.0.0/16,"(20207, 174, 10886, 27)"
265621,1.2.0.0/16,"(11172, 174, 10886, 27)"
153746,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
152463,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
141214,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
140699,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
137058,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
136035,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
135635,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
49466,1.2.0.0/16,"(57578, 56630, 174, 10886, 27)"
134695,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
133947,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
46904,1.2.0.0/16,"(46887, 1299, 10886, 27)"
132133,1.2.0.0/16,"(45629, 3356, 2152, 25)"
38293,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
24393,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
18252,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
7715,1.2.0.0/16,"(9931, 4651, 3356, 2152, 25)"
154175,1.2.0.0/16,"(9930, 3356, 2152, 25)"
152113,1.2.0.0/16,"(9930, 3356, 2152, 25)"
151345,1.2.0.0/16,"(9930, 3356, 2152, 25)"
142631,1.2.0.0/16,"(9930, 3356, 2152, 25)"
397674,1.2.0.0/16,"(21559, 174, 10886, 27)"
141987,1.2.0.0/16,"(9930, 3356, 2152, 25)"
140971,1.2.0.0/16,"(9930, 3356, 2152, 25)"
53434,1.2.0.0/16,"(33659, 3356, 2152, 25)"
138663,1.2.0.0/16,"(9930, 3356, 2152, 25)"
136412,1.2.0.0/16,"(9930, 3356, 2152, 25)"
49469,1.2.0.0/16,"(12389, 174, 10886, 27)"
134698,1.2.0.0/16,"(9930, 3356, 2152, 25)"
134573,1.2.0.0/16,"(9930, 3356, 2152, 25)"
48380,1.2.0.0/16,"(198477, 6762, 3257, 10886, 27)"
133609,1.2.0.0/16,"(9930, 3356, 2152, 25)"
132694,1.2.0.0/16,"(9930, 3356, 2152, 25)"
46941,1.2.0.0/16,"(21559, 174, 10886, 27)"
132170,1.2.0.0/16,"(9930, 3356, 2152, 25)"
46806,1.2.0.0/16,"(36086, 174, 10886, 27)"
132035,1.2.0.0/16,"(9930, 3356, 2152, 25)"
132033,1.2.0.0/16,"(9930, 3356, 2152, 25)"
399826,1.2.0.0/16,"(14979, 6762, 3257, 10886, 27)"
58910,1.2.0.0/16,"(9930, 3356, 2152, 25)"
58622,1.2.0.0/16,"(9930, 3356, 2152, 25)"
45331,1.2.0.0/16,"(9930, 3356, 2152, 25)"
38532,1.2.0.0/16,"(9930, 3356, 2152, 25)"
17736,1.2.0.0/16,"(9930, 3356, 2152, 25)"
4769,1.2.0.0/16,"(9930, 3356, 2152, 25)"
18242,1.2.0.0/16,"(9929, 4766, 2152, 25)"
273649,1.2.0.0/16,"(267613, 174, 10886, 27)"
17962,1.2.0.0/16,"(9929, 4766, 2152, 25)"
150447,1.2.0.0/16,"(9927, 6939, 2152, 25)"
51574,1.2.0.0/16,"(56457, 174, 10886, 27)"
136803,1.2.0.0/16,"(9927, 6939, 2152, 25)"
135345,1.2.0.0/16,"(9927, 6939, 2152, 25)"
58884,1.2.0.0/16,"(9927, 6939, 2152, 25)"
211612,1.2.0.0/16,"(9924, 174, 10886, 27)"
131635,1.2.0.0/16,"(9924, 174, 10886, 27)"
131595,1.2.0.0/16,"(9924, 174, 10886, 27)"
209299,1.2.0.0/16,"(13335, 2152, 25)"
38841,1.2.0.0/16,"(9924, 174, 10886, 27)"
24165,1.2.0.0/16,"(9924, 174, 10886, 27)"
24164,1.2.0.0/16,"(9924, 174, 10886, 27)"
24163,1.2.0.0/16,"(9924, 174, 10886, 27)"
24158,1.2.0.0/16,"(9924, 174, 10886, 27)"
18415,1.2.0.0/16,"(9924, 174, 10886, 27)"
18413,1.2.0.0/16,"(9924, 174, 10886, 27)"
265604,1.2.0.0/16,"(11172, 174, 10886, 27)"
9917,1.2.0.0/16,"(17408, 6939, 2152, 25)"
152842,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
152350,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
152028,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
150513,1.2.0.0/16,"(23947, 174, 10886, 27)"
56702,1.2.0.0/16,"(58067, 3216, 174, 10886, 27)"
397618,1.2.0.0/16,"(20042, 7459, 1299, 10886, 27)"
141931,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
141890,1.2.0.0/16,"(64313, 174, 10886, 27)"
52125,1.2.0.0/16,"(51765, 174, 10886, 27)"
137354,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
50219,1.2.0.0/16,"(32475, 13789, 1828, 2152, 25)"
135448,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
134612,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
149541,1.2.0.0/16,"(45284, 4755, 6453, 3257, 10886, 27)"
64312,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
399314,1.2.0.0/16,"(13335, 2152, 25)"
58398,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
23861,1.2.0.0/16,"(9905, 7632, 174, 10886, 27)"
153864,1.2.0.0/16,"(131207, 59318, 174, 10886, 27)"
151795,1.2.0.0/16,"(131207, 59318, 174, 10886, 27)"
150796,1.2.0.0/16,"(9902, 3223, 6762, 3257, 10886, 27)"
150295,1.2.0.0/16,"(9902, 3223, 6762, 3257, 10886, 27)"
149828,1.2.0.0/16,"(9902, 3223, 6762, 3257, 10886, 27)"
149634,1.2.0.0/16,"(9902, 3223, 6762, 3257, 10886, 27)"
394743,1.2.0.0/16,"(23379, 174, 10886, 27)"
139056,1.2.0.0/16,"(38235, 174, 10886, 27)"
138528,1.2.0.0/16,"(38235, 174, 10886, 27)"
52274,1.2.0.0/16,"(22724, 3356, 2152, 25)"
137503,1.2.0.0/16,"(38235, 174, 10886, 27)"
137206,1.2.0.0/16,"(38235, 174, 10886, 27)"
136379,1.2.0.0/16,"(38235, 174, 10886, 27)"
50104,1.2.0.0/16,"(131775, 24534, 174, 10886, 27)"
135333,1.2.0.0/16,"(38235, 174, 10886, 27)"
265587,1.2.0.0/16,"(270158, 174, 10886, 27)"
149169,1.2.0.0/16,"(58656, 3223, 6762, 3257, 10886, 27)"
63940,1.2.0.0/16,"(9891, 45430, 3356, 2152, 25)"
59702,1.2.0.0/16,"(12552, 1299, 10886, 27)"
152111,1.2.0.0/16,"(9886, 1299, 10886, 27)"
151990,1.2.0.0/16,"(9886, 1299, 10886, 27)"
151397,1.2.0.0/16,"(21859, 2152, 25)"
141076,1.2.0.0/16,"(55685, 1299, 10886, 27)"
51257,1.2.0.0/16,"(29075, 174, 10886, 27)"
152220,1.2.0.0/16,"(9848, 4766, 2152, 25)"
46637,1.2.0.0/16,"(13428, 3257, 10886, 27)"
216435,1.2.0.0/16,"(216440, 174, 10886, 27)"
45977,1.2.0.0/16,"(9848, 4766, 2152, 25)"
208883,1.2.0.0/16,"(35805, 1299, 10886, 27)"
38425,1.2.0.0/16,"(9848, 4766, 2152, 25)"
24509,1.2.0.0/16,"(9848, 4766, 2152, 25)"
17833,1.2.0.0/16,"(9848, 4766, 2152, 25)"
265660,1.2.0.0/16,"(27751, 7049, 174, 10886, 27)"
9973,1.2.0.0/16,"(9848, 4766, 2152, 25)"
265639,1.2.0.0/16,"(52409, 7195, 174, 10886, 27)"
9952,1.2.0.0/16,"(9848, 4766, 2152, 25)"
4664,1.2.0.0/16,"(9848, 4766, 2152, 25)"
265384,1.2.0.0/16,"(14840, 6762, 3257, 10886, 27)"
153491,1.2.0.0/16,"(9832, 58715, 174, 10886, 27)"
150152,1.2.0.0/16,"(9832, 58715, 174, 10886, 27)"
57404,1.2.0.0/16,"(62081, 174, 10886, 27)"
398320,1.2.0.0/16,"(11776, 174, 10886, 27)"
142633,1.2.0.0/16,"(9832, 58715, 174, 10886, 27)"
64046,1.2.0.0/16,"(9832, 58715, 174, 10886, 27)"
153221,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
153181,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
152533,1.2.0.0/16,"(24186, 9498, 3356, 2152, 25)"
151757,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
151703,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
61999,1.2.0.0/16,"(55002, 11404, 2152, 25)"
147228,1.2.0.0/16,"(24309, 9498, 3356, 2152, 25)"
141476,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
52727,1.2.0.0/16,"(28146, 3356, 2152, 25)"
137956,1.2.0.0/16,"(55410, 3356, 2152, 25)"
136702,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
50540,1.2.0.0/16,"(59796, 1299, 10886, 27)"
135769,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
135764,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
135734,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
135557,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
135218,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
49672,1.2.0.0/16,"(15924, 3257, 10886, 27)"
134901,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
133725,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
133308,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
133287,1.2.0.0/16,"(55410, 3356, 2152, 25)"
47212,1.2.0.0/16,"(34547, 5603, 6762, 3257, 10886, 27)"
132441,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
45340,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
24485,1.2.0.0/16,"(9829, 6762, 3257, 10886, 27)"
216148,1.2.0.0/16,"(44901, 6762, 3257, 10886, 27)"
273821,1.2.0.0/16,"(270075, 52468, 174, 10886, 27)"
265301,1.2.0.0/16,"(264215, 53181, 3356, 2152, 25)"
265065,1.2.0.0/16,"(10429, 3356, 2152, 25)"
135162,1.2.0.0/16,"(17639, 3356, 2152, 25)"
151263,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
135629,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
131486,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
63727,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
63695,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
63647,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
63531,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
141275,1.2.0.0/16,"(17665, 9498, 3356, 2152, 25)"
396961,1.2.0.0/16,"(11164, 2152, 25)"
56045,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
24445,1.2.0.0/16,"(9808, 4134, 3257, 10886, 27)"
153389,1.2.0.0/16,"(9790, 3356, 2152, 25)"
153350,1.2.0.0/16,"(9790, 3356, 2152, 25)"
150287,1.2.0.0/16,"(9790, 3356, 2152, 25)"
140870,1.2.0.0/16,"(9790, 3356, 2152, 25)"
54991,1.2.0.0/16,"(13335, 2152, 25)"
140220,1.2.0.0/16,"(9790, 3356, 2152, 25)"
137472,1.2.0.0/16,"(9790, 3356, 2152, 25)"
135142,1.2.0.0/16,"(9790, 3356, 2152, 25)"
134378,1.2.0.0/16,"(9790, 3356, 2152, 25)"
134131,1.2.0.0/16,"(9790, 3356, 2152, 25)"
134099,1.2.0.0/16,"(9790, 3356, 2152, 25)"
47359,1.2.0.0/16,"(21497, 1299, 10886, 27)"
132588,1.2.0.0/16,"(9790, 3356, 2152, 25)"
132174,1.2.0.0/16,"(9790, 3356, 2152, 25)"
131174,1.2.0.0/16,"(9790, 3356, 2152, 25)"
56304,1.2.0.0/16,"(9790, 3356, 2152, 25)"
141089,1.2.0.0/16,"(133817, 7713, 3356, 2152, 25)"
55860,1.2.0.0/16,"(9790, 3356, 2152, 25)"
55793,1.2.0.0/16,"(9790, 3356, 2152, 25)"
55485,1.2.0.0/16,"(9790, 3356, 2152, 25)"
45620,1.2.0.0/16,"(9790, 3356, 2152, 25)"
45473,1.2.0.0/16,"(9790, 3356, 2152, 25)"
45285,1.2.0.0/16,"(9790, 3356, 2152, 25)"
38495,1.2.0.0/16,"(13335, 2152, 25)"
24107,1.2.0.0/16,"(9790, 3356, 2152, 25)"
18159,1.2.0.0/16,"(9790, 3356, 2152, 25)"
9889,1.2.0.0/16,"(9790, 3356, 2152, 25)"
265246,1.2.0.0/16,"(61616, 6939, 2152, 25)"
9559,1.2.0.0/16,"(9790, 3356, 2152, 25)"
49804,1.2.0.0/16,"(43668, 6762, 3257, 10886, 27)"
265472,1.2.0.0/16,"(52974, 3356, 2152, 25)"
9785,1.2.0.0/16,"(137366, 174, 10886, 27)"
265425,1.2.0.0/16,"(263468, 61568, 174, 10886, 27)"
153897,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
153798,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
153677,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
153277,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
153261,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
153254,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
153243,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
153216,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
152569,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
152534,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
152504,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
152494,1.2.0.0/16,"(55410, 3356, 2152, 25)"
152487,1.2.0.0/16,"(55410, 3356, 2152, 25)"
151752,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
151711,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
151325,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
151160,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
151087,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
150651,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
150644,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
150634,1.2.0.0/16,"(55410, 3356, 2152, 25)"
150611,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
150063,1.2.0.0/16,"(150748, 174, 10886, 27)"
150011,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149611,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149604,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149583,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149576,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149564,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149558,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149553,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149533,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149261,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149245,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149229,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149228,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149219,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
149214,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
146888,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
57255,1.2.0.0/16,"(60695, 3356, 2152, 25)"
142484,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
398168,1.2.0.0/16,"(15164, 174, 10886, 27)"
142481,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
141878,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
56565,1.2.0.0/16,"(201706, 174, 10886, 27)"
141794,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
397221,1.2.0.0/16,"(12008, 3257, 10886, 27)"
141534,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
397001,1.2.0.0/16,"(62646, 174, 10886, 27)"
141314,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
396956,1.2.0.0/16,"(11758, 174, 10886, 27)"
141269,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
53477,1.2.0.0/16,"(22773, 1299, 10886, 27)"
138706,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
393988,1.2.0.0/16,"(33154, 174, 10886, 27)"
53072,1.2.0.0/16,"(16735, 3356, 2152, 25)"
138301,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
393965,1.2.0.0/16,"(20473, 174, 10886, 27)"
138278,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
137153,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
137132,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
51891,1.2.0.0/16,"(31133, 174, 10886, 27)"
137120,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
51883,1.2.0.0/16,"(28890, 3216, 174, 10886, 27)"
137112,1.2.0.0/16,"(150748, 174, 10886, 27)"
137090,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
137084,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
136902,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
136690,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
136688,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
51458,1.2.0.0/16,"(30781, 1299, 10886, 27)"
136687,1.2.0.0/16,"(55410, 3356, 2152, 25)"
51410,1.2.0.0/16,"(12695, 3216, 174, 10886, 27)"
136639,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
136360,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
51124,1.2.0.0/16,"(43668, 6762, 3257, 10886, 27)"
136353,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
51099,1.2.0.0/16,"(31017, 8708, 174, 10886, 27)"
136328,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
136305,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
135831,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
135813,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
135756,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
135240,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
135036,1.2.0.0/16,"(150748, 174, 10886, 27)"
134900,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
134340,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
134276,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
134020,1.2.0.0/16,"(55410, 3356, 2152, 25)"
133963,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
132955,1.2.0.0/16,"(55410, 3356, 2152, 25)"
132924,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
132613,1.2.0.0/16,"(21788, 174, 10886, 27)"
399618,1.2.0.0/16,"(53587, 174, 10886, 27)"
58702,1.2.0.0/16,"(55410, 3356, 2152, 25)"
23957,1.2.0.0/16,"(9730, 9498, 3356, 2152, 25)"
150798,1.2.0.0/16,"(9723, 4826, 1299, 10886, 27)"
150127,1.2.0.0/16,"(13335, 2152, 25)"
141044,1.2.0.0/16,"(9723, 4826, 1299, 10886, 27)"
137536,1.2.0.0/16,"(9723, 4826, 1299, 10886, 27)"
49924,1.2.0.0/16,"(12874, 6762, 3257, 10886, 27)"
135153,1.2.0.0/16,"(9723, 4826, 1299, 10886, 27)"
48934,1.2.0.0/16,"(49028, 1299, 10886, 27)"
134163,1.2.0.0/16,"(9723, 4826, 1299, 10886, 27)"
133859,1.2.0.0/16,"(9723, 4826, 1299, 10886, 27)"
274099,1.2.0.0/16,"(263702, 3356, 2152, 25)"
9670,1.2.0.0/16,"(18233, 63927, 3356, 2152, 25)"
151789,1.2.0.0/16,"(9658, 174, 10886, 27)"
53741,1.2.0.0/16,"(15830, 6762, 3257, 10886, 27)"
138970,1.2.0.0/16,"(9658, 174, 10886, 27)"
137936,1.2.0.0/16,"(9658, 174, 10886, 27)"
136260,1.2.0.0/16,"(9658, 174, 10886, 27)"
134564,1.2.0.0/16,"(9658, 174, 10886, 27)"
133195,1.2.0.0/16,"(9658, 174, 10886, 27)"
399593,1.2.0.0/16,"(12129, 174, 10886, 27)"
58677,1.2.0.0/16,"(9658, 174, 10886, 27)"
273877,1.2.0.0/16,"(52468, 174, 10886, 27)"
18190,1.2.0.0/16,"(9658, 174, 10886, 27)"
152374,1.2.0.0/16,"(9657, 23947, 174, 10886, 27)"
135396,1.2.0.0/16,"(9650, 4826, 1299, 10886, 27)"
149212,1.2.0.0/16,"(141324, 150748, 174, 10886, 27)"
63983,1.2.0.0/16,"(9650, 4826, 1299, 10886, 27)"
63790,1.2.0.0/16,"(59105, 2518, 174, 10886, 27)"
136736,1.2.0.0/16,"(9584, 2914, 3257, 10886, 27)"
154174,1.2.0.0/16,"(9583, 174, 10886, 27)"
154138,1.2.0.0/16,"(9583, 174, 10886, 27)"
153272,1.2.0.0/16,"(9583, 174, 10886, 27)"
152502,1.2.0.0/16,"(9583, 174, 10886, 27)"
151716,1.2.0.0/16,"(9583, 174, 10886, 27)"
151692,1.2.0.0/16,"(9583, 174, 10886, 27)"
151132,1.2.0.0/16,"(9583, 174, 10886, 27)"
151118,1.2.0.0/16,"(9583, 174, 10886, 27)"
150057,1.2.0.0/16,"(9583, 174, 10886, 27)"
149595,1.2.0.0/16,"(9583, 174, 10886, 27)"
146908,1.2.0.0/16,"(9583, 174, 10886, 27)"
56318,1.2.0.0/16,"(45267, 174, 10886, 27)"
397234,1.2.0.0/16,"(12008, 3257, 10886, 27)"
141547,1.2.0.0/16,"(9583, 174, 10886, 27)"
141529,1.2.0.0/16,"(9583, 174, 10886, 27)"
51866,1.2.0.0/16,"(16276, 2152, 25)"
136625,1.2.0.0/16,"(9583, 174, 10886, 27)"
51241,1.2.0.0/16,"(58224, 49666, 6762, 3257, 10886, 27)"
136470,1.2.0.0/16,"(9583, 174, 10886, 27)"
50570,1.2.0.0/16,"(20562, 15703, 57866, 6830, 3257, 10886, 27)"
49853,1.2.0.0/16,"(34779, 174, 10886, 27)"
135082,1.2.0.0/16,"(9583, 174, 10886, 27)"
49740,1.2.0.0/16,"(34224, 3257, 10886, 27)"
134969,1.2.0.0/16,"(9583, 174, 10886, 27)"
134858,1.2.0.0/16,"(9583, 174, 10886, 27)"
134345,1.2.0.0/16,"(9583, 174, 10886, 27)"
